pr_number,state,additions,deletions,changed_files,analysis_time_hours,description_length,participants_count,comments_count,repo
46854,closed,0,0,0,66.01555555555555,2293,2,6,spring-projects/spring-boot
319,merged,0,0,0,14.313333333333333,17,10,11,doocs/advanced-java
316,closed,0,0,0,152.47722222222222,4748,2,3,doocs/advanced-java
315,closed,0,0,0,481.4225,37,10,11,doocs/advanced-java
305,merged,0,0,0,54.925,4366,1,1,doocs/advanced-java
304,merged,0,0,0,4.033888888888889,3009,2,2,doocs/advanced-java
260,merged,0,0,0,2.9516666666666667,83,1,1,doocs/advanced-java
232,merged,0,0,0,1.106111111111111,75,2,4,doocs/advanced-java
223,merged,0,0,0,18.32611111111111,12,2,4,doocs/advanced-java
171,merged,0,0,0,4.177222222222222,16,1,1,doocs/advanced-java
166,merged,0,0,0,11.581388888888888,28,1,1,doocs/advanced-java
163,merged,0,0,0,6.5125,52,1,1,doocs/advanced-java
152,merged,0,0,0,20.29,72,3,5,doocs/advanced-java
146,merged,0,0,0,12.14638888888889,0,1,1,doocs/advanced-java
121,merged,0,0,0,10.618333333333334,37,1,2,doocs/advanced-java
120,merged,0,0,0,87.56111111111112,60,1,1,doocs/advanced-java
118,merged,0,0,0,42.20333333333333,23,2,4,doocs/advanced-java
116,merged,0,0,0,72.77027777777778,8,1,1,doocs/advanced-java
113,merged,0,0,0,1.9166666666666667,56,1,1,doocs/advanced-java
103,merged,0,0,0,12.647222222222222,14,1,2,doocs/advanced-java
136069,merged,0,0,0,4.051111111111111,39,2,3,elastic/elasticsearch
136055,merged,0,0,0,2.356388888888889,144,5,5,elastic/elasticsearch
136038,merged,0,0,0,5.391111111111111,179,2,3,elastic/elasticsearch
136037,merged,0,0,0,1.2219444444444445,8,2,2,elastic/elasticsearch
136030,merged,0,0,0,2.2175,24,5,6,elastic/elasticsearch
136029,merged,0,0,0,19.118055555555557,75,3,4,elastic/elasticsearch
136013,merged,0,0,0,2.0241666666666664,393,3,6,elastic/elasticsearch
136010,merged,0,0,0,1.1233333333333333,0,2,2,elastic/elasticsearch
135994,merged,0,0,0,34.59527777777778,252,2,4,elastic/elasticsearch
135991,merged,0,0,0,54.19305555555555,327,4,12,elastic/elasticsearch
135987,merged,0,0,0,13.90638888888889,1354,4,12,elastic/elasticsearch
135981,merged,0,0,0,74.28472222222223,35,4,8,elastic/elasticsearch
135980,merged,0,0,0,64.3711111111111,214,3,4,elastic/elasticsearch
135978,merged,0,0,0,1.0969444444444445,301,2,3,elastic/elasticsearch
135974,merged,0,0,0,64.31027777777778,8,2,3,elastic/elasticsearch
135973,merged,0,0,0,27.83,0,3,7,elastic/elasticsearch
135949,merged,0,0,0,89.41583333333334,920,7,17,elastic/elasticsearch
135946,merged,0,0,0,65.35194444444444,120,2,2,elastic/elasticsearch
135942,merged,0,0,0,69.87305555555555,138,3,4,elastic/elasticsearch
135932,merged,0,0,0,70.26583333333333,237,4,7,elastic/elasticsearch
135921,merged,0,0,0,93.29194444444444,72,3,3,elastic/elasticsearch
4619,merged,0,0,0,19.8775,136,3,3,Stirling-Tools/Stirling-PDF
4611,closed,0,0,0,1.5644444444444445,2627,3,3,Stirling-Tools/Stirling-PDF
4605,merged,0,0,0,45.74111111111111,4016,1,1,Stirling-Tools/Stirling-PDF
4604,merged,0,0,0,45.74777777777778,7958,1,1,Stirling-Tools/Stirling-PDF
4603,merged,0,0,0,45.75694444444444,3695,1,1,Stirling-Tools/Stirling-PDF
4602,merged,0,0,0,45.75333333333333,8754,1,1,Stirling-Tools/Stirling-PDF
4601,merged,0,0,0,45.757777777777775,9633,1,1,Stirling-Tools/Stirling-PDF
4597,merged,0,0,0,2.589166666666667,1666,3,3,Stirling-Tools/Stirling-PDF
4596,closed,0,0,0,1.8327777777777778,1003,2,2,Stirling-Tools/Stirling-PDF
4595,merged,0,0,0,12.939722222222223,2901,2,4,Stirling-Tools/Stirling-PDF
4593,merged,0,0,0,16.54277777777778,2333,2,3,Stirling-Tools/Stirling-PDF
4590,merged,0,0,0,2.581111111111111,234,1,1,Stirling-Tools/Stirling-PDF
4588,merged,0,0,0,73.51583333333333,2469,3,3,Stirling-Tools/Stirling-PDF
4586,merged,0,0,0,2.5619444444444444,1566,2,4,Stirling-Tools/Stirling-PDF
4585,merged,0,0,0,1.0433333333333332,167,1,1,Stirling-Tools/Stirling-PDF
4584,merged,0,0,0,92.32277777777777,927,2,3,Stirling-Tools/Stirling-PDF
4582,merged,0,0,0,20.56277777777778,1566,3,3,Stirling-Tools/Stirling-PDF
4581,merged,0,0,0,46.57944444444445,4134,5,16,Stirling-Tools/Stirling-PDF
4577,merged,0,0,0,55.99444444444445,27,2,2,Stirling-Tools/Stirling-PDF
4575,merged,0,0,0,17.494444444444444,1566,4,5,Stirling-Tools/Stirling-PDF
